date,title,content
2019-04-22,Strong Earthquake Shakes Areas North of Philippine Capital,"A strong earthquake shook the Philippine capital and outlying provinces Monday, briefly knocking out power, causing boulders to roll down onto a highway, stopping an overhead train service and prompting thousands of people to flee to safety, officials said. The U.S. Geological Survey said the late afternoon quake had a preliminary magnitude of 6.1 and was centered near the northwestern town of Bodega. There were no immediate reports of injuries or widespread damage.Renato Solidum, who heads the government's earthquake institute, said the quake was not strong enough to trigger a tsunami.Gov. Lilia Pineda of Pampanga province, north of Manila, told DZMM radio that an old church was damaged and some boulders rolled down a hill onto a highway, and some concrete power posts were also toppled in one town.Thousands of office workers dashed out of buildings in Manila, many wearing hard hats, and residents ran out of houses in panic. An elevated train service was halted and passengers alighted and were made to walk into the nearest stations. Several towns briefly lost power on the main northern Luzon island, officials said.The Philippines, one of the world's most disaster-prone countries, is prone to earthquakes and volcanic eruptions due to its location on the so-called Pacific ""Ring of Fire."" "
2019-04-22,"At least three dead due to quake, Pampanga governor says","The earthquake that jolted Luzon Monday afternoon claimed at least three lives, Pampanga Gov. Lilia Pineda said. The STAR reported that at least three persons were crushed in San Fernando, Pampanga when a wall collapsed on them during the earthquake.  The Philippine Institute of Volcanology and Seismology reported that a magnitude 6.1 earthquake hit Castillejos Zambales at around 5:11 p. m., Monday.  The quake was tectonic in origin.   .7671232876712 At least three persons were crushed to death by walls which collapsed during the powerful earthquake that shook San Fernando, Pampanga at around 5:11 pm on Monday, Gov.  Lilia Pineda said. | via Ding Cervantes pic. twitter.com/NW7a4H03II  The Philippine Star (@PhilippineStar) April 22, 2019 The quake was felt at IntensityV in Magalang, Pampanga.  READ:Magnitude 6.1 quake jolts Luzon, rocks Metro Manila The National Disaster Risk Reduction Management Council, for its part, said that it has received reports offive casualties in Central Luzon.  ""Sa Porac, bumagsak ang hanggang fourth floor na building, may mga na-trap sa loob. Nire-resecue pa rin hanggang ngayon,"" Pineda said in a separate interview with ANC.  (In Porac, Pampanga, the fourth floor of a building collapsed and there were people trapped inside. Rescue ongoing. ) Pineda said that 20 people have already been rescued and brought to the hospital but rescue operations continue as there remain more people trapped inside the building. The Pampanga governor also said that there are difficulties as the power was cut and concrete posts have collapsed. "" Pineda said that the bell tower of San Agustin Church and another old church in Porac were also damaged due to the earthquake."
2019-04-22,6.1-magnitude earthquake in Philippine main Luzon island kills at least 6,"At least six people were killed after a 6.1-magnitude earthquake struck the Philippine main Luzon island on Monday afternoon, local media reported. Angie Blanco, a local disaster official in northern Pampanga province, told ABS-CBN television that some people were trapped in a four-story building that collapsed in Porac, a town in Pampanga province in the central Luzon region, north of Manila. Two others were also killed when a concrete wall collapsed in Lubao, another town in Pampanga province. The Philippine government has not officially released any casualties. The Philippine Institute of Volcanology and Seismology (Phivolcs) revised the magnitude of the earthquake to 6.1-magnitude from the earlier reported 5.7-magnitude. In a report, the quake-monitoring Phivocls said the quake, which struck at 5:11 p.m. local time, hit at a depth of 12 km, about 2 km northeast of Castillejos town in northern Zambales province. The quake was felt in Metro Manila, prompting people to scramble out of buildings and houses. Several aftershocks were felt after the initial quake and was tectonic in origin. The Philippines, which lies along the Pacific Ring of Fire, have numerous active faults and trenches on both sides of the archipelago. The geographic and geologic settings of the Philippines make this archipelagic country prone to earthquakes. The Phivolcs records an average of 20 earthquakes a day and 100 to 150 earthquakes are felt per year."
2019-04-22,Phivolcs: No technology yet to predict earthquakes,"The Philippine Institute of Volcanology and Seismology (Phivolcs) has reminded the public that there is no technology yet that can predict earthquakes. On its Facebook page, Phivolcs shared an old post dismissing rumors that an earthquake involving the West Valley Fault, possibly affecting Metro Manila and its neighboring provinces will occur. 'Sa kasalukuyan, wala pang teknolohiya sa buong mundo na maaring malaman kung kailan maaaring maganap ang isang malakas na lindol,' Phivolcs clarified. (As of now, there is no technology yet anywhere in the world that can predict earthquakes.) 'Bagama't ganito, patuloy na minamatyagan ng DOST-PHIVOLCS ang mga lugar na pinagmumulan ng lindol upang magbigay ng sapat na abiso ayon sa nakalap na datos lalo na kapag may kakaibang nangyayari sa mga ito,' the agency added. (The DOST-Phivolcs continue to monitor the origins of earthquakes to provide alerts based from data that is available.) The earthquake on Monday was recorded in Castillejos town in Zambales and was felt in different parts of Luzon from Pangasinan to Metro Manila and to Camarines Norte. In 2017, rumors spread that earthquakes may be predicted as studies about the possible effects of the West Valley Fault were published. The fault line has not moved since it's last movement around 400 years ago. Despite the absence of earthquakes involving the West Valley Fault, the National Capital Region Police Office (NCRPO) said that agencies like the Metropolitan Manila Development Authority (MMDA) are prepared for the worst scenario. 'The government agency in-charge of earthquakes in the country estimates that over 30,000 individuals may die and over 100,000 may be injured. In order to speed up the evacuation of residents and the rescue operations, the MMDA has divided Metro Manila into four quadrants,' the NCRPO said. These are: North (Caloocan, Valenzuela, Quezon City, San Juan, Mandaluyong); East (Pasig, Marikina); West (Manila Malabon, Navotas); and South (Las Piñas, Makati, Muntinlupa, Parañaque, Pateros, Taguig, Pasay."
2019-04-22,Earthquake of 6.3 magnitude strikes central Philippines – USGS,"Walls move in circular fashion' as strong temblor jolts main island of Luzon  Employees are seen at an open area in Manila, after an earthquake rocked the Philippines on April 22, 2019. Image Credit: AFP   Manila: Extensive damage from a killer quake. That's what initial images coming out of the Philippines show: collapsed buildings, damaged airport, cars crushed by debris. At least 17 aftershocks were recorded by Filipino volcanologists. The latest updates: Extensive damage to Clark airport reported Local news website Rappler shared pictures on Twitter showing severe damage sustained by the Clark International Airport. The quake was centred on the town of Castillejos, about 140 kilometres northwest of Manila, local geologists said. Scientists from the US Geological Survey logged its magnitude at 6.3, and said its epicentre was 40 kilometres (25 miles) below the Earth's surface. Image Credit: Supplied  Local experts has gave the quake's intensity at Magnitude 6.1. Pictures showing collapsed buildings in Olongapo City, in Zambales, north of Manila, were also posted on Twitter. 3.21pm, Monday (all timings Dubai) 5 people reported killed At least five people died after a powerful earthquake struck central Philippines on Monday, shaking buildings, cracking walls and sending thousands scurrying out to open fields. A local official reported at least three bodies were pulled out of a collapsed building in Porac, a town about an hour by car from Manila.  The powerful quake, with epicentre in Zambales province, just outside Manila, jolted the capital and surrounding regions. Image Credit: Google maps  An old woman and her grandchild were crushed to death by another building in the town of Lubao, provincial governor Lilia Pineda told local TV station ABS-CBN. ""The quake has caused a blackout,"" she said, hampering rescue efforts in the early evening as night closed in.  Rescue workers carry a woman to an ambulance after she became dizzy following an earthquake hit Manila, on Monday, April 22, 2019. Image Credit: AP  The quake struck 60 km (37 miles) northwest of the Philippine capital at a depth of 40 km (25 miles). Some local officials reported damage to a church in northern Pampanga province, adding that boulders rolled down a mountain, blocking a highway. Office workers piled out onto the streets as emergency alarms blared, AFP reporters , but there were no immediate reports of injuries or damage. Feliza Villanueva, 21, a business process outsourcing employee told AFP she and four colleagues were at work when the quake struck. ""This was the second strongest quake I've felt in my entire life,"" she told AFP as she joined hundreds of others in the courtyard of an office building, waiting for the all clear. ""We were worried but we did not panic,"" she said. ""We planned how to evacuate the building. There were too many people going down the stairs, so we waited for our turn. People looked in shock, but no one was shouting or anything like that,"" she said. A Reuters witness in the capital, Manila, said offices were swaying in the business district of Makati City. ""The scariest thing ever!"" posted one tweep using the @officialdjmagik who said he was the 35th floor of a building when the temblor struck. The quake was centred on the town of Castillejos, about 100 kilometres (62 miles) northwest of Manila, local geologists said. Operations of the light rail system in Manila was suspended as the temblor shook a huge swathe of the Luzon main island. The Philippine News Agency quoted local volcanologists as saying the quake's magnitude was measured at 5.7. Philippine Institute of Seismology and Volcanology chief Renato Solidum says the quake, which was caused by movement of a local fault, was not strong enough to trigger a tsunami or cause widespread damage.The quake struck 60 km (37 miles) northwest of Manila at a depth of 40 km (25 miles). Thousands evacuated their offices in Manila. Local media reported that the glass door of a fast-food restaurant at SM Pampanga and a portion of the floor at SM Olongapo were damaged due to the quake that jolted parts of Luzon on Monday afternoon. The electricity supply in the City of San Fernando was reportedly cut off as a preemptive measure. People were also seen rushing outside the malls in Pampanga and Olongapo City. An its initial earthquake bulletin, the Philippine Institute of Volcanology and Seismology (Phivolcs) reported that the earthquake was of tectonic origin had a depth of 21 kilometers. Intensity 5 was felt in San Felipe, Zambales, and Quezon City. The tremor was also felt in Baguio City, Pampanga, and Bataan. Dani Justo, a martial arts instructor, told AFP she was at her Manila home when the quake struck. ""The clothes hanging on our line were really swaying. My shih tzu (dog) dropped flat on the ground,"" she added. The Philippines is on the seismically active Pacific ""Ring of Fire"", a horse-shoe shaped band of volcanoes and fault lines circling the edges of the Pacific Ocean."
2019-04-22,Earthquake 6.3 in the Philippines leaves several fatalities,"At least five people were killed in the collapse of two buildings caused by the magnitude 6.3 earthquake that hit the northern Philippines on Monday afternoon, officials said.   Three bodies were found in a four-story building that collapsed in the city of Porac, in Pampanga province, north of Manila.   Trending topics Philippines by 6.3 magnitude earthquake. Two others - an elderly woman and her grandson - were discovered in the rubble of another building in the nearby city of Lubao, said the provincial governor, Lilia Pineda.  ""We believe that there are still people trapped in the four-story building ,"" Pineda added, adding that 20 people were rescued and taken to the hospital at nightfall.  A 6.1 magnitude earthquake hit the Philippine island of Luzon on Monday, causing five deaths and property damage. ""It's difficult because there is no electricity,"" he added. The Philippines is part of the Pacific ""Ring of Fire"", an area of intense seismic activity where most volcanic eruptions and earthquakes occur on the planet.   Buildings end up after a strong earthquake in Philippines of magnitude 6.3. The post Earthquake 6.3 in the Philippines leaves several fatalities appeared first on The Fourth. "
2019-04-22,Strong earthquake with 6.3 magnitude hits the Philippines,"A strong 6.3-magnitude quake was recorded today on the Philippine island of Luzon, with no reports of casualties or damage, nor a warning of a possible tsunami, officials said.   The earthquake struck at 17:11 local time (10:11 am in Lisbon) with the epicenter at a depth of 40 kilometers, according to the United States Geological Survey.   According to the same source, the earthquake struck the Philippine island Luzon, located about 60 kilometers northwest of Manila, the capital of the Philippines."
2019-04-22,"Power outage hits Bataan, Pampanga after magnitude 6.1-quake","Power outages hit Balanga City, Mariveles, Orani, and Morong towns in Bataan after a magnitude 6.1 earthquake jolted parts of Luzon Monday. The Bataan Provincial Disaster Risk Reduction and Management Office has coordinated with various government agencies to respond to a fire that hit Bataan Refinery Center in Limay town. In Bulacan, villagers were also seen rushing outside their houses. In Pampanga, patients in a private hospital were evacuated as electricty supply in City of San Fernando was cut off as a preemptive measure. People were also seen rushing outside the malls in Pampanga and Olongapo City. The glass door of a fast-food restaurant at SM Pampanga and a portion of a floor in SM Olongapo were damaged due to the quake. In its initial earthquake bulletin, Philippine Institute of Volcanology and Seismology (Phivolcs) said the earthquake struck 2 kilometers northeast of this town at 5.11 p.m. The earthquake was of tectonic origin had a depth of 21 km. Intensity 5 was felt in San Felipe, Zambales, and Quezon City. The tremor was also felt in Baguio City, Pampanga, Bataan, and Bulacan."
2019-04-22,Operations in all Metro train lines suspended due to magnitude 6.1 quake,"The management of all train stations suspended its operations Monday afternoon following the strong quake that hit the Metro Manila and other parts of Luzon. Lawyer Hernando Cabrera, LRT-2 spokesperson, said that all stations were closed pending inspection of possible damage due to the quake. 'LRT-2 suspends train operations at around 5:18 PM, all stations are closed for passenger entry, pending inspection and assessment of all facilities and systems due to the strong earthquake,' Cabrera said in a tweet. LRT2 suspends train operations at around 5:18 PM, all stations are closed for passenger entry, pending inspection and assessment of all facilities and systems due to strong earthquake. In a separate tweet, he said the operations of LRT-2 would no longer resume for the day. 'For the safety of everyone, a more thorough inspection shall be conducted to ensure the integrity of LRT2 structures and systems. LRT2 will resume operations tomorrow at 4:30 in the morning,' he said. LRT2 will no longer resume operations tonight. For the safety of everyone, a more thorough inspection shall be conducted to ensure the integrity of LRT2 structures and systems. LRT2 will resume operations tomorrow at 4:30 in the morning. The Metro Rail Transit 3 (MRT-3) also suspended operations to assess the status of its structures. 'We want to ensure the integrity of our structures post-quake before allowing public use,' the management said. Meanwhile, LRT-1 said that it would temporarily suspend its operations for the whole line. LRT-1 Corporate Communications head Rochelle Gamboa urged both train drivers and train passengers to remain vigilant for possible aftershocks. Gamboa told INQUIRER.net in a phone interview all trains that were on the tracks either slowed down or stopped during the earthquake. Philippine National Railways (PNR) General Manager Junn Magno also announced that there would be no trips available in its line due to the quake. Transport Secretary Arthur Tugade urged the public not to risk their safety in commuting back home. 'Better to be safe than sorry. Siguraduhin na ligtas sakyan ang buong linya bago natin patakbuhin ulit (Make sure that the railway lines are safe before resuming operations),' he said. The Metropolitan Manila Development Authority (MMDA) has already dispatched buses offering free rides to assist commuters affected by the suspension of the train trips."
2019-04-22,Clark International Airport shut down after quake,"All flights in Clark International Airport were canceled following a magnitude 6.1 tremor that jolted parts of Luzon on Monday afternoon. According to Jim Melo, president of Clark International Airport Corp., the airport will be closed for 24 hours to assess the extent of its damage and ensure that everything would be safe. Due to the quake, a portion of a mega dike in Pampanga was damaged. In its initial earthquake bulletin, the Philippine Institute of Volcanology and Seismology (Phivolcs) said the earthquake struck 2 kilometers northeast of this town at 5.11 p.m. The earthquake was of tectonic origin, with a depth of 21 km. Updated @ 7:36 p.m., April 22, 2019, to add photos The 57-kilometer long mega dike extends at the boundary of this city and the towns of Bacolor, Porac and Santa Rita. It is considered Pampanga's last defense against lahar in the event of a volcanic eruption The Santa Catalina Church in Porac town was ' significantly damaged,' according to a post by the archdiocesan committee on church heritage. The tremor was also felt in Baguio City, Pampanga, Bataan, Nueva Ecija, and Bulacan. Also in Pampanga, patients in a private hospital were evacuated and the electricity in San Fernando was cut off as a preemptive measure. The crucifix on the belfry of St. Augustine Church in Lubao town, said to be Pampanga oldest church built by Augustinians, was slightly damaged. In Bataan, power outages hit Balanga City, Mariveles, Orani and Morong towns. The Bataan Provincial Disaster Risk Reduction and Management Office has coordinated with various government agencies to respond to a fire that hit Bataan Refinery Center in Limay town. The concrete arch that separates Bataan and Pampanga provinces had a gaping crack and was deformed due to the quake. People were also seen rushing outside the malls in Pampanga and Olongapo City. The glass door of a fast-food restaurant at SM Pampanga and a portion of a floor in SM Olongapo were damaged due to the quake. In Bulacan, villagers were also seen rushing outside their houses. In Isabela, local officials said the tremor was felt in Santiago City. Joey Apolinario, Cagayan education program supervisor, said they were having a seminar at a hotel in Zambales when the quake struck, forcing them to take the stairs and run outside of the building."
2019-04-22,"Malls' glass door, floor damaged by 6.1-quake in Central Luzon","The glass door of a fast-food restaurant at SM Pampanga and a portion of the floor at SM Olongapo were damaged due to the magnitude 6.1 quake that jolted parts of Luzon on Monday afternoon. The electricity supply in the City of San Fernando was reportedly cut off as a preemptive measure. People were also seen rushing outside the malls in Pampanga and Olongapo City. In its initial earthquake bulletin, the Philippine Institute of Volcanology and Seismology (Phivolcs) said the earthquake struck 2 kilometers northeast of this town at 5.11 p.m. The earthquake was of tectonic origin had a depth of 21 kilometers. Intensity 5 was felt in San Felipe, Zambales, and Quezon City. The tremor was also felt in Baguio City, Pampanga, and Bataan."
2019-04-22,Magnitude 6.1 quake kills 5 in Pampanga,"Five persons were confirmed to have died in this province as a result of a powerful earthquake on Monday. The Philippine Institute of Volcanology and Seismology traced the epicenter of the 6.1-magnitude temblor in Castillejos, Zambales. Based on the latest report from the Pampanga Provincial Disaster and Risk Reduction and Management Council (PDRRMC), three of the fatalities were trapped inside the Chuzon Supermarket in Porac town while the two others were hit by a collapsed wall in Barangay Sta. Cruz, Lubao town, both in this province. Governor Lilia Pineda said the identities of the fatalities are still being verified. She said 20 persons have so far been rescued from the collapsed supermarket and brought to the nearest hospital. ""There is ongoing rescue operation in the area,"" she said. The PDRRMC report said there are still some 35 persons believed to be trapped in the collapsed supermarket. Pineda appealed to the Department of Public Works and Highways to send more cranes to be utilized for the rescue operation."
2019-04-23,2nd LD Writethru: Death toll from Monday's Philippine earthquake rises to 16,"The death toll from Monday's 6.1-magnitude earthquake that struck the Zambales province in the Philippine main Luzon Island has risen to 16, the government said on Tuesday. Ricardo Jalad, the executive director of the National Disaster Risk Reduction and Management Council (NDRRMC), said 81 people were also injured and 14 others remain missing in central Luzon provinces of Pampanga and Zambales. Of the 16, the national disaster agency said five were pulled from the collapsed four-storey supermarket building in Porac town, seven from different villages also in Porac town, two in Lubao town, one in Angeles City, in Pampanga province and one in San Marcelino town in Zambales province. A total of 29 structures and buildings were damaged, the NDRRMC said. Monday's earthquake also caused landslide in San Marcelino town, prompting the government to evacuate about 120 families living around the mountain. The Philippine Institute of Volcanology and Seismology (Phivolcs) said Monday's quake was detected at a depth of 12 km, about 18 km northeast of Castillejos, a town in Zambales province in the western part of Luzon. The quake knocked down buildings and walls, and cracked road surfaces in Pampanga province and other parts of central Luzon. A number of churches, including a century-old Roman Catholic church, were also damaged. It also shook high-rise buildings in Metro Manila, the Philippine capital, prompting office workers to dash out of the building offices. Schools and offices in Metro Manila and outlying provinces were closed on Tuesday to make way for inspection of the buildings. Less than 24 hours after the 6.1-magnitude rocked the Philippines on Monday, another 6.5-magnitude earthquake struck the San Julian town in Eastern Samar province in the central Philippines at 1:37 p.m. local time on Tuesday. No casualty has been reported except one minor injury in Tuesday's earthquake so far. The Philippines, which lies along the Pacific Ring of Fire, have numerous active faults and trenches on both sides of the archipelago. Phivolcs said several quakes rattle this archipelagic country every day, though most are not felt. The geographic and geologic settings of the Philippines make this archipelagic country prone to earthquakes. Phivolcs records an average of 20 earthquakes a day and 100 to 150 earthquakes are felt per year. Enditem"
2019-04-23,1st LD: Death toll from Philippine earthquake rises to 16,"The death toll from Monday's 6.1-magnitude earthquake that struck the northern Philippines has risen to 16, the Philippine National Disaster Risk Reduction and Management Council said on Tuesday. Ricardo Salad, executive director of the council, said the earthquake also left 81 people injured while 14 others remained missing in central Luzon provinces of Pampanga and Zambales. Philippine Institute of Volcanology and Seismology said Monday's earthquake was detected at a depth of 12 km about 18 km northeast of Castillejos, a town in Zambales province in the western part of Luzon. Following the first earthquake on Monday, a 6.5-magnitude earthquake struck Eastern Samar province in the central Philippines at 1:37 p.m. local time on Tuesday. No casualties and damage have been reported yet from this earthquake."
2019-04-23,"11 people killed, more than 100 injured in Philippine earthquake","In Philippine, at least 11 people have been killed and more than 100 injured in the 6.1 magnitude earthquake that jolted the northern Philippines yesterday. The quake hit 60km northwest of the capital, Manila, disrupting air, rail and road transport and causing some damage to buildings and infrastructure. The worst of the damage was in the province of Pampanga, which was the site of all 11 fatalities, disaster officials said. The rescuers are scrambling to reach dozens of people feared buried under a building near Manila that collapsed due to the earthquake. The toll could rise as crews fanned out across the region to assess casualties in isolated hamlets that lost power and communications in one of the area's strongest tremors in years."
2019-04-23,Urgent: Death toll from Monday's Philippine earthquake rises to 16,"The death toll from Monday's 6.1-magnitude earthquake that struck the northern Philippines has risen to 16, the Philippine National Disaster Risk Reduction and Management Council said on Tuesday. Ricardo Salad, executive director of the council, said the earthquake also left 81 people injured while 14 others remained missing in central Luzon provinces of Pampanga and Zambales. Philippine Institute of Volcanology and Seismology said Monday's earthquake was detected at a depth of 12 km about 18 km northeast of Castillejos, a town in Zambales province in the western part of Luzon. Following the first earthquake on Monday, a 6.5-magnitude earthquake struck Eastern Samar province in the central Philippines at 1:37 p.m. local time on Tuesday. No casualties and damage have been reported yet from this earthquake."
2019-04-23,Philippine earthquake toll rises to 16,"The death toll from Monday's 6.1-magnitude earthquake that struck the northern Philippines has risen to 16, the Philippine National Disaster Risk Reduction and Management Council said on Tuesday. Ricardo Salad, executive director of the council, said the earthquake also left 81 people injured while 14 others remained missing in central Luzon provinces of Pampanga and Zambales. Philippine Institute of Volcanology and Seismology said Monday's earthquake was detected at a depth of 12 km about 18 km northeast of Castillejos, a town in Zambales province in the western part of Luzon. Following the first earthquake on Monday, a 6.5-magnitude earthquake struck Eastern Samar province in the central Philippines at 1337 hours (local time) on Tuesday. No casualties and damage have been reported yet from this earthquake."
