,sentence
0,Discover Thomson Reuters
1,More
2,By Reuters Staff
3,2 Min Read
4,"(Reuters) - An earthquake of magnitude 6.8 struck west-central Argentina on Monday, followed by at least five aftershocks that shook buildings and sent products tumbling off supermarket shelves, but there were no immediate reports of injuries."
5,"The quake hit at a depth of 10 km (6 miles), the German Research Center for Geosciences (GFZ) said, with its epicentre located 40 km (25 miles) south of the province of San Juan."
6,"The aftershocks ranged in magnitude from 3.5 to 5, the European Mediterranean Seismological Centre (EMSC) said."
7,"Posts on social media showed many homes and buildings shaking, with the seismic activity leaving cracks in roads, while glass bottles fell off the shelves in shops."
8,San Juan Governor Sergio U̱ac urged people to remain calm following the earthquake and called on them to reach out in case they need any assistance.
9,"""Let us put into practice all the measures we have learned to prevent incidents, while we are committed to knowing the impact of the (earthquake) to collaborate in everything necessary,"" he said bit.ly/3qyOf4a in a tweet, advising those who suffered damage or in need of assistance to call the emergency number 911."
10,"No tsunami warning was issued, the U.S. Tsunami Warning System said."
11,Reporting by Bhargav Acharya in Bengaluru; Editing by Himani Sarkar and Clarence Fernandez & Shri Navaratnam
12,Our Standards: The Thomson Reuters Trust Principles.
13,Trending Stories
14,All quotes delayed a minimum of 15 minutes.
15,See here for a complete list of exchanges and delays.
16,"Ex-Minneapolis police officer Derek Chauvin sentenced to 22 years, six months in prison for the murder of George Floyd"
